Equipment_ID,Sensor_1,Sensor_2,Sensor_3,Environmental_Temperature,Environmental_Humidity,Production_Volume,Operating_Hours,Error_Code,Equipment_Age,Power_Consumption,Voltage_Fluctuations,Current_Fluctuations,Vibration_Analysis,Temperature_Gradients,Pressure_Levels,Failure_Maintenance_Indicator
766,26.8,27.88,0.009,21.4,51,1182,163,1,8,1405,3,2,0.7,23,23,1
964,23.99,26.31,0.006,21.9,53,1103,146,1,6,1500,4,4,0.5,24,22,1
45,24.17,26.93,0.003,22.2,60,1413,292,1,2,1589,5,2,0.5,21,24,0
53,27.66,20.3,0.01,24.6,50,1435,163,1,5,1502,8,4,0.6,24,23,0
797,23.3,27.03,0.007,24.2,44,1358,227,1,10,1409,8,5,0.4,22,19,0
810,23.44,26.29,0.003,22.4,44,1189,127,1,1,1476,7,5,0.5,21,23,1
812,25.88,21.57,0.008,23.8,56,1126,120,1,1,1438,8,4,0.6,22,21,0
647,27.78,26.91,0.004,22.6,49,1422,136,0,9,1408,8,3,0.5,22,23,0
448,26.32,23.78,0.002,22.6,45,1393,113,1,4,1505,5,2,0.5,23,18,0
328,20.23,20.49,0.008,22.1,47,1178,154,1,4,1508,5,1,0.5,19,21,1
19,22.66,20.41,0.004,23.6,59,1197,200,1,10,1425,6,5,0.6,22,20,1
242,21.8,20.44,0.004,22.9,51,1452,240,1,2,1586,4,3,0.5,23,24,0
537,23.82,25.86,0.006,24.1,45,1200,200,0,5,1529,5,2,0.4,24,18,0
587,29.54,26.67,0.004,23.9,52,1353,169,1,4,1421,3,2,0.4,23,20,0
444,25.93,21.14,0.002,22.3,49,1455,139,1,2,1517,8,4,0.6,18,20,1
848,26.27,29.47,0.003,22.7,44,1435,188,1,7,1524,7,5,0.7,18,18,0
508,23.61,22.42,0.008,21.5,45,1270,114,1,10,1446,7,4,0.6,24,18,1
584,22.19,26.33,0.009,23.2,60,1087,193,1,8,1485,7,2,0.7,18,19,1
667,26.35,23.61,0.005,20.7,42,1363,242,1,7,1530,3,5,0.4,24,22,0
580,21.66,26.53,0.01,20.9,60,1385,163,0,4,1504,3,4,0.4,20,23,1
470,22.89,27.6,0.009,22.4,41,1237,229,0,6,1403,6,5,0.4,23,21,0
947,29.02,29.27,0.006,23.6,43,1139,109,0,3,1475,8,2,0.6,24,23,1
681,20.26,22.71,0.007,22.6,53,1268,185,1,7,1421,5,1,0.6,18,24,0
102,22.66,20.38,0.008,20.0,41,1028,264,1,3,1470,8,1,0.4,21,18,0
461,21.3,22.4,0.004,23.7,49,1050,190,1,3,1569,7,1,0.6,20,20,0
887,29.26,21.21,0.002,21.0,42,1421,283,1,8,1525,8,2,0.5,23,21,1
969,25.93,29.18,0.002,21.3,40,1312,122,0,9,1543,3,5,0.5,21,20,0
699,26.55,21.42,0.003,22.0,40,1318,187,1,4,1499,3,5,0.7,23,22,0
996,26.41,25.51,0.007,24.1,59,1188,256,1,9,1434,3,3,0.6,19,23,1
969,28.42,24.01,0.007,24.7,54,1363,259,1,6,1576,5,4,0.6,20,21,0
379,21.2,20.98,0.007,22.5,57,1271,116,0,1,1514,8,3,0.6,18,19,1
761,23.95,23.76,0.007,24.2,44,1351,155,1,1,1481,3,5,0.6,23,18,1
282,20.57,24.99,0.009,23.3,53,1443,221,1,6,1405,3,4,0.7,23,24,1
20,24.29,23.12,0.006,22.0,47,1403,141,0,7,1544,4,3,0.6,21,23,0
720,27.15,25.33,0.005,23.8,50,1398,129,1,9,1475,7,4,0.4,18,24,0
